File,Book,Chapter,ExpectedVerses,Overall,Check,Status,Value,Detail
ACT_003.wav,Acts,3,26,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_003.wav,Acts,3,26,PASS,Head Silence,PASS,2.02s,Expected 2.0s +/- 0.5s; measured 2.02s
ACT_003.wav,Acts,3,26,PASS,Tail Silence,PASS,2.24s,Expected 2.0s +/- 0.5s; measured 2.24s
ACT_003.wav,Acts,3,26,PASS,Chapter Title,PASS,1,Present.
ACT_003.wav,Acts,3,26,PASS,Verses,PASS,26/26,"All 26 verses present (Verse 1..26), no missing/extra/duplicates."
ACT_004.wav,Acts,4,37,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_004.wav,Acts,4,37,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_004.wav,Acts,4,37,PASS,Head Silence,PASS,2.10s,Expected 2.0s +/- 0.5s; measured 2.10s
ACT_004.wav,Acts,4,37,PASS,Tail Silence,PASS,2.33s,Expected 2.0s +/- 0.5s; measured 2.33s
ACT_004.wav,Acts,4,37,PASS,Chapter Title,PASS,1,Present.
ACT_004.wav,Acts,4,37,PASS,Verses,PASS,37/37,"All 37 verses present (Verse 1..37), no missing/extra/duplicates."
ACT_005.wav,Acts,5,42,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_005.wav,Acts,5,42,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_005.wav,Acts,5,42,PASS,Head Silence,PASS,2.16s,Expected 2.0s +/- 0.5s; measured 2.16s
ACT_005.wav,Acts,5,42,PASS,Tail Silence,PASS,2.16s,Expected 2.0s +/- 0.5s; measured 2.16s
ACT_005.wav,Acts,5,42,PASS,Chapter Title,PASS,1,Present.
ACT_005.wav,Acts,5,42,PASS,Verses,PASS,42/42,"All 42 verses present (Verse 1..42), no missing/extra/duplicates."
ACT_006.wav,Acts,6,15,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_006.wav,Acts,6,15,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_006.wav,Acts,6,15,PASS,Head Silence,PASS,2.04s,Expected 2.0s +/- 0.5s; measured 2.04s
ACT_006.wav,Acts,6,15,PASS,Tail Silence,PASS,2.45s,Expected 2.0s +/- 0.5s; measured 2.45s
ACT_006.wav,Acts,6,15,PASS,Chapter Title,PASS,1,Present.
ACT_006.wav,Acts,6,15,PASS,Verses,PASS,15/15,"All 15 verses present (Verse 1..15), no missing/extra/duplicates."
ACT_007.wav,Acts,7,60,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_007.wav,Acts,7,60,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_007.wav,Acts,7,60,FAIL,Head Silence,PASS,2.07s,Expected 2.0s +/- 0.5s; measured 2.07s
ACT_007.wav,Acts,7,60,FAIL,Tail Silence,FAIL,2.64s,Expected 2.0s +/- 0.5s; measured 2.64s
ACT_007.wav,Acts,7,60,FAIL,Chapter Title,PASS,1,Present.
ACT_007.wav,Acts,7,60,FAIL,Verses,PASS,60/60,"All 60 verses present (Verse 1..60), no missing/extra/duplicates."
ACT_008.wav,Acts,8,40,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_008.wav,Acts,8,40,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_008.wav,Acts,8,40,PASS,Head Silence,PASS,2.03s,Expected 2.0s +/- 0.5s; measured 2.03s
ACT_008.wav,Acts,8,40,PASS,Tail Silence,PASS,2.38s,Expected 2.0s +/- 0.5s; measured 2.38s
ACT_008.wav,Acts,8,40,PASS,Chapter Title,PASS,1,Present.
ACT_008.wav,Acts,8,40,PASS,Verses,PASS,40/40,"All 40 verses present (Verse 1..40), no missing/extra/duplicates."
ACT_009.wav,Acts,9,43,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_009.wav,Acts,9,43,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_009.wav,Acts,9,43,PASS,Head Silence,PASS,2.00s,Expected 2.0s +/- 0.5s; measured 2.00s
ACT_009.wav,Acts,9,43,PASS,Tail Silence,PASS,2.31s,Expected 2.0s +/- 0.5s; measured 2.31s
ACT_009.wav,Acts,9,43,PASS,Chapter Title,PASS,1,Present.
ACT_009.wav,Acts,9,43,PASS,Verses,PASS,43/43,"All 43 verses present (Verse 1..43), no missing/extra/duplicates."
ACT_010.wav,Acts,10,48,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_010.wav,Acts,10,48,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_010.wav,Acts,10,48,FAIL,Head Silence,PASS,2.30s,Expected 2.0s +/- 0.5s; measured 2.30s
ACT_010.wav,Acts,10,48,FAIL,Tail Silence,FAIL,2.56s,Expected 2.0s +/- 0.5s; measured 2.56s
ACT_010.wav,Acts,10,48,FAIL,Chapter Title,PASS,1,Present.
